year,class,rank,bib,team,time,time_seconds,source_url
2025,bedrift og mosjonslag mix flest menn,1142,8693,Landbruksdirektoratet 2 (Landbruksdirektoratet),1:19:47,4787.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1143,11242,Ila fengsel BIL 1 (Ila fengsel BIL),1:19:47,4787.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1144,10067,Vista Analyse,1:19:48,4788.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1145,8422,AGP Advokater,1:19:49,4789.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1146,8089,NUPI,1:19:49,4789.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1147,7895,Bane NOR – Energi (Bane NOR),1:19:49,4789.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1148,11894,BA5 Invest – Predio,1:19:50,4790.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1149,6229,Deloitte 29 (Deloitte BIL),1:19:50,4790.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1150,7648,KS – Kommunesektorens organisasjon 1 (KS – Kommunesektorens organisasjon),1:19:51,4791.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1151,12033,Live Nation,1:19:51,4791.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
